Owner,API #,Longitude,Latitude,Property #,Lease / Well Name,Tank MID,Tank Name,Tank Nbr,Tank Size,BBLS Per Inch,SEC,TWP,RNG,COUNTY
"Continental Resources, Inc.",2508321270,-104.32836,47.60448,200210,Sorenson 14-6H,1065,Sorenson - 247983,1,405.56,1.675867769,6,021N,058E,RICHLAND
"Continental Resources, Inc.",2508321270,-104.32836,47.60448,200210,Sorenson 14-6H,1066,Sorenson - 247984,2,402.4,1.676666667,6,021N,058E,RICHLAND
"Continental Resources, Inc.",3310500776,-103.574309,48.217583,201390,Rolfstad 1,1096,Rolfstad - 54825-1,1,403.02,1.67925,29,155N,100W,WILLIAMS
"Continental Resources, Inc.",3310500776,-103.574309,48.217583,201390,Rolfstad 1,1097,Rolfstad - 54825-2 ,2,402.99,1.679125,29,155N,100W,WILLIAMS
"Continental Resources, Inc.",3300701484,-103.39981,46.99628,202140,Thompson 1-30H,1850,Thompson - 11111 ,1,404.21,1.684208333,30,141N,100W,BILLINGS
"Continental Resources, Inc.",3300701484,-103.39981,46.99628,202140,Thompson 1-30H,1851,Thompson - 22222,2,404.29,1.684541667,30,141N,100W,BILLINGS
"Continental Resources, Inc.",3300701488,-103.37846,46.99596,202280,Butte 1-29H,1847,Butte - 36742 ,1,404.79,1.686625,29,141N,100W,BILLINGS
"Continental Resources, Inc.",3300701488,-103.37846,46.99596,202280,Butte 1-29H,1848,Butte - 36743 ,2,404.79,1.686625,29,141N,100W,BILLINGS
"Continental Resources, Inc.",3300701489,-103.37473,46.99271,202290,Diamond Federal A 1-32H,1844,Diam Fed A - 36744 ,1,404.8,1.686666667,32,141N,100W,BILLINGS
"Continental Resources, Inc.",3300701489,-103.37473,46.99271,202290,Diamond Federal A 1-32H,1845,Diam Fed A - 36745,2,404.61,1.685875,32,141N,100W,BILLINGS
"Continental Resources, Inc.",3300701492,-103.48587,46.90274,202430,Michelle 41-36H,1841,Michelle - 40102,1,400.37856,1.668244,36,140N,102W,BILLINGS
"Continental Resources, Inc.",3300701492,-103.48587,46.90274,202430,Michelle 41-36H,1842,Michelle - 40103,2,404.43,1.685125,36,140N,102W,BILLINGS
"Continental Resources, Inc.",3300701491,-103.50876,46.82172,203010,Platinum State 43-26H,1838,36746 - Platinum State,1,404.5,1.685416667,26,139N,102W,BILLINGS
"Continental Resources, Inc.",3300701491,-103.50876,46.82172,203010,Platinum State 43-26H,1839,36747 - Platinum State,2,404.63,1.685958333,26,139N,102W,BILLINGS
"Continental Resources, Inc.",2508322048,-104.65081,47.88294,203530,Fink Farms 1-29H,903,Fink Farms - 40403,1,402.91,1.678791667,29,025N,055E,RICHLAND
"Continental Resources, Inc.",2508322048,-104.65081,47.88294,203530,Fink Farms 1-29H,904,Fink Farms - 40402,2,402.81,1.678375,29,025N,055E,RICHLAND
